순위,제목,댓글수,언론사,감성,신뢰도
1,진중권 "'쥴리'? 대재력가 딸이 그런 데 나갈 수 있나",8231,뉴시스,부정,0.99609375
2,'김부선 변호' 강용석 "이재명 점 있어..재검증 필요해",7048,뉴시스,부정,0.9169921875
3,[단독] "김건희 박사논문 상황 엄중"..국민대 '연구윤리위' 조사 착수,6462,오마이뉴스,부정,0.98486328125
4,국민의힘 "코로나 4차 대유행 현실화..정부의 무능한 방역탓",5206,아시아경제,부정,0.99609375
5,최대집 전 의사협회 회장 대선 출마한다,4353,연합뉴스,중립,0.84619140625
6,[현장영상] 오세훈 "버스 8일부터 지하철 9일부터 밤 10시이후 20% 감축 운행",2950,YTN,중립,0.935546875
7,"왜 이제와서 이러냐"..야간 음주단속에 뿔난 2030,2922,이데일리,부정,0.99755859375
8,[영상] 윤석열 페북 이어 유튜브 개설..'도리도리' 사라졌다,2643,JTBC,부정,0.994140625
9,"10원짜리 동전 80만개로 샤넬백 결제" 진상고객 샤넬백 못산다,2307,머니투데이,부정,0.9609375
10,'폐지론' 질문에 울컥..여가부 차관 "피해자 어디서 도움받나",2289,노컷뉴스,부정,0.98583984375
11,코인 주식으로 돈 벌어 집 산 20대.."내가 왜 취득세 폭탄?" 날벼락,1803,매일경제,부정,0.99658203125
12,日언론 "이재명 대일 자세 문제많아..尹은 경제·외교 역량 미지수",1542,뉴시스,부정,0.99609375
13,[영상]"대한민국 위해 뛰겠다 구독이 응원"..尹 유튜브도 열었다,1528,중앙일보,긍정,0.94873046875
14,총선 직전 '태영호 성폭력 의혹 고발' 시민단체 1심서 벌금형,1395,뉴스1,부정,0.9921875
15,'그런 질문 안돼~' 윤석열 브리핑 중 몸다툼(?) [TF사진관],1066,더팩트,부정,0.81591796875
16,조국 "김건희야말로 사모펀드 전문가..왜 다들 입닫나",1004,뉴시스,부정,0.99609375
17,조은희 "4차 대유행 주범 20~30대 아닌 문재인 정부",981,뉴스1,부정,0.9912109375
18,오세훈 시장의 호소 "코로나 최대 위기 인내 결집해야 할 때",970,머니투데이,부정,0.97021484375
19,보행자 치어 숨지게 하고는 "재수가 없어" 큰소리친 50대,889,연합뉴스,부정,0.9970703125
20,[오차범위]이재명·윤석열 1위 굳건..스캔들·쥴리 논란에도 강세 이유는,774,뉴스1,부정,0.90283203125
21,오세훈 "자발적 협조 안되면 추가 조치..백신 좀 많이 빨리 확보해야",721,뉴시스,부정,0.99462890625
22,4차 대유행 직면한 '2050' 당분간 백신접종 없다,704,머니투데이,부정,0.98828125
23,'바지 발언' 쏘아 올린 이재명..김부선 "이잘알 변호사 내편 바지 벗을 시간",622,더팩트,부정,0.99365234375
24,[단독] "쿠팡 실태 폭로한다"던 배송기사 알고 보니 민주당 청년위원,589,조선일보,부정,0.96142578125
25,'1인 최대 500만원' 내일배움카드 공무원·대기업 직원도 가능,535,연합뉴스,중립,0.86083984375
26,강남 발칵 뒤집혔다..현대백화점 확진 수백미터 검사 대기줄[영상],514,중앙일보,부정,0.9921875
27,[영상]연이어 탈원전 비판하던 尹 마스크에는 '탄소중심' 왜?[이슈시개],500,노컷뉴스,부정,0.994140625
28,2명 모임만 허용..거리두기 4단계 적용 시 사실상 '봉쇄',442,서울신문,부정,0.99462890625
29,육군훈련소 한 분대 36명 모두 확진.."변이바이러스 미검출"(종합),430,뉴스1,부정,0.80419921875
30,조국 "사모펀드 윤로남불..유인태 왜 윤석열 아내 비판 안 하나",383,한국일보,부정,0.9970703125
31,'둑 터지듯' 확진자 폭발적 증가.."이러다 2000명 될라",369,뉴시스,부정,0.99560546875
32,이홍구 "이재명 美점령군 발언 정치적 의도 아닌 무지해서 한 말",323,조선일보,부정,0.99658203125
33,'김부선 변호' 강용석 "이재명 '셀프검증' 못 믿어..신체감정 다시 받아야",315,뉴스1,부정,0.994140625
34,검찰 윤석열 아내 수사 1년째 '만지작'..배경은?,252,한겨레,부정,0.9091796875
35,현대百 방문자 수만명 검사받아야..정부 "거리두기 4단계 격상 검토",242,한국경제,부정,0.8828125
36,"서울대 청소노동자에 '관악학생생활관' 영어로 써 보라 갑질",237,YTN,부정,0.9970703125
37,무면허로 사람 치어 숨지게 하고 "재수가 없었다"..징역 3년,231,이데일리,부정,0.99658203125
38,"정부가 똥볼을 차놓고 국민 협박" 조은희 서초구청장 작심비판,228,경향신문,부정,0.9970703125
39,與 "이대남 분노 이용하나"..유승민 '여가부 폐지' 맹비난(종합),215,뉴시스,부정,0.9970703125
40,가짜 수산업자 주장에..탁현민이 소개한 '진짜 대통령 선물' 감별법,207,한국일보,부정,0.7470703125
41,수도권 990명 이대로라면 수도권 4단계도 가능,195,이데일리,중립,0.82421875
42,조광한 "남양주 직원 道 조사관에 '옷만 벗기지 말아달라'고 했다",180,뉴스1,부정,0.83935546875
43,이재명 후쿠시마 오염수 발언 尹 저격 "日극우 논리..입장 밝혀라",177,뉴스1,부정,0.99609375
44,[영상] 떨리는 목소리로 "최선 다해"..김 차관 '여가부 폐지'는 별개,140,연합뉴스,부정,0.9814453125
45,'여가부 폐지론' 후폭풍.."여가부 없으면 피해자 어디서 도움 받나" 발끈,139,뉴시스,부정,0.9970703125
46,지지모임 띄운 원희룡 "제겐 흠이 없다"..김종인 "대통령 자질 갖춰",118,국민일보,부정,0.6240234375
47,국민대 윤석열 부인 박사논문 의혹 조사 착수,114,이데일리,부정,0.82177734375
48,재난지원금 소득 하위 80%→전국민 변경되나..민주당 '보편지원' 무게,111,경향신문,부정,0.990234375
49,이재명 알고 보면 섬세한 남자?..與 8룡 중 유일한 MBTI 'I유형',103,뉴스1,부정,0.484375
50,[단독] 윤석열과 고급 주상복합..이상한 전입신고,97,시사저널,부정,0.84765625
